Name,Lizenz
@babel/plugin-bugfix-firefox-class-in-computed-class-key,MIT
@lezer/javascript,MIT
parseley,MIT
arch,MIT
execa,MIT
import-lazy,MIT
@babel/plugin-transform-unicode-sets-regex,MIT
ansi-styles,MIT
fastq,ISC
@babel/helpers,MIT
enquirer,MIT
he,MIT
locate-path,MIT
@babel/plugin-transform-new-target,MIT
pg-pool,MIT
@babel/helper-string-parser,MIT
@rollup/rollup-linux-x64-musl,MIT
contra,MIT
dom-serializer,MIT
colorjs.io,MIT
@lezer/highlight,MIT
nanoid,MIT
@codemirror/lang-markdown,MIT
is-core-module,MIT
buffer,MIT
onetime,MIT
graceful-fs,ISC
fastest-levenshtein,MIT
sass-embedded-android-x64,MIT
@types/resolve,MIT
@esbuild/netbsd-arm64,MIT
roboto-fontface,Apache-2.0
buffer-builder,MIT
is-installed-globally,MIT
base64-js,MIT
camelcase,MIT
libbase64,MIT
estraverse,BSD-2-Clause
object.entries,MIT
svg4everybody,CC0-1.0
postcss-value-parser,MIT
@babel/plugin-transform-duplicate-named-capturing-groups-regex,MIT
sass-embedded-android-ia32,MIT
resolve,MIT
@esbuild/linux-s390x,MIT
http-signature,MIT
@babel/preset-env,MIT
deepmerge,MIT
p-limit,MIT
write-file-atomic,ISC
focus-visible,W3C
@babel/types,MIT
is-boolean-object,MIT
css-functions-list,MIT
sass-embedded-android-arm,MIT
is-arrayish,MIT
glob-parent,ISC
object.values,MIT
@esbuild/android-x64,MIT
postcss-sorting,MIT
data-view-byte-length,MIT
own-keys,MIT
slice-ansi,MIT
balanced-match,MIT
@babel/plugin-transform-optional-chaining,MIT
@esbuild/sunos-x64,MIT
array-buffer-byte-length,MIT
internal-slot,MIT
@babel/plugin-transform-modules-umd,MIT
electron-to-chromium,ISC
fs.realpath,ISC
cssesc,MIT
domhandler,BSD-2-Clause
atoa,MIT
array-union,MIT
fast-levenshtein,MIT
tmp,MIT
string.prototype.trim,MIT
fast-json-stable-stringify,MIT
es-abstract,MIT
@babel/plugin-transform-async-generator-functions,MIT
@esbuild/aix-ppc64,MIT
verror,MIT
common-tags,MIT
string.prototype.trimend,MIT
update-browserslist-db,MIT
for-each,MIT
colorette,MIT
lru-cache,ISC
map-obj,MIT
redux,MIT
is-glob,MIT
levn,MIT
p-try,MIT
eventemitter2,MIT
has-flag,MIT
log-symbols,MIT
@lezer/html,MIT
acorn,MIT
sass-embedded,MIT
get-proto,MIT
array.prototype.flat,MIT
@babel/template,MIT
ajv,MIT
colord,MIT
json5,MIT
brace-expansion,MIT
@eslint/js,MIT
@babel/plugin-transform-json-strings,MIT
rimraf,ISC
glob,ISC
unicode-match-property-ecmascript,MIT
word-wrap,MIT
@babel/plugin-transform-private-methods,MIT
typed-array-byte-offset,MIT
@vue/compiler-dom,MIT
eslint,MIT
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,MIT
hosted-git-info,ISC
yallist,ISC
rxjs,Apache-2.0
rtlcss,MIT
bcrypt-pbkdf,BSD-3-Clause
leac,MIT
uc.micro,MIT
regenerator-transform,MIT
postgres-bytea,MIT
which-typed-array,MIT
is-map,MIT
assert-plus,MIT
caniuse-lite,CC-BY-4.0
side-channel-weakmap,MIT
xml-name-validator,Apache-2.0
@babel/plugin-proposal-private-property-in-object,MIT
yaml,ISC
json-stable-stringify-without-jsonify,MIT
tsconfig-paths,MIT
@lezer/xml,MIT
sass-embedded-linux-riscv64,MIT
@vue/runtime-core,MIT
regjsparser,BSD-2-Clause
functions-have-names,MIT
isarray,MIT
hash-sum,MIT
strip-json-comments,MIT
semver,ISC
fd-slicer,MIT
micromatch,MIT
is-async-function,MIT
minimist,MIT
@types/minimist,MIT
@types/normalize-package-data,MIT
@esbuild/linux-x64,MIT
@rollup/rollup-linux-s390x-gnu,MIT
esbuild,MIT
sync-child-process,MIT
side-channel,MIT
punycode,MIT
argparse,Python-2.0
extsprintf,MIT
cypress-file-upload,MIT
object.groupby,MIT
sass-embedded-darwin-x64,MIT
linkify-it,MIT
jsprim,MIT
object-inspect,MIT
is-generator-function,MIT
@babel/runtime,MIT
validate-npm-package-license,Apache-2.0
vuex,MIT
util-deprecate,MIT
combined-stream,MIT
regenerator-runtime,MIT
postgres-interval,MIT
domutils,BSD-2-Clause
sass-embedded-linux-arm64,MIT
global-dirs,MIT
cli-cursor,MIT
@babel/helper-optimise-call-expression,MIT
flatted,ISC
is-bigint,MIT
data-view-byte-offset,MIT
@vue/compiler-sfc,MIT
deep-is,MIT
extend,MIT
is-callable,MIT
meow,MIT
magic-string,MIT
@babel/plugin-transform-class-static-block,MIT
@babel/plugin-transform-modules-commonjs,MIT
astral-regex,MIT
custom-event,MIT
emoji-regex,MIT
decamelize,MIT
request-progress,MIT
wrap-ansi,MIT
redent,MIT
json-parse-even-better-errors,MIT
process-nextick-args,MIT
slice-ansi,MIT
jsonfile,MIT
define-properties,MIT
recursive-readdir,MIT
@babel/helper-module-imports,MIT
unbox-primitive,MIT
postcss,MIT
jquery,MIT
core-util-is,MIT
stylelint-scss,MIT
@esbuild/openbsd-arm64,MIT
is-date-object,MIT
call-bind-apply-helpers,MIT
brace-expansion,MIT
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,MIT
forever-agent,Apache-2.0
ignore,MIT
libqp,MIT
has-proto,MIT
@rollup/rollup-android-arm-eabi,MIT
@esbuild/netbsd-x64,MIT
hotkeys-js,MIT
sass-embedded-win32-ia32,MIT
crossvent,MIT
at-least-node,ISC
yallist,ISC
json-buffer,MIT
xtend,MIT
eslint-module-utils,MIT
@rollup/rollup-linux-arm64-gnu,MIT
cypress,MIT
type-fest,MIT OR (CC0-1.0 AND MIT)
varint,MIT
executable,MIT
indent-string,MIT
pend,MIT
normalize-package-data,BSD-2-Clause
proxy-from-env,MIT
path-is-absolute,MIT
callsites,MIT
asn1,MIT
esutils,BSD-2-Clause
set-function-length,MIT
@ampproject/remapping,Apache-2.0
pg-types,MIT
ansi-regex,MIT
@babel/plugin-transform-computed-properties,MIT
kind-of,MIT
postcss-safe-parser,MIT
yauzl,MIT
lodash,CC0-1.0 AND MIT
confusing-browser-globals,MIT
function.prototype.name,MIT
array.prototype.findlastindex,MIT
@babel/plugin-transform-optional-catch-binding,MIT
type-fest,CC0-1.0 AND MIT
tippy.js,MIT
tweetnacl,Unlicense
smtp-tester,MIT
@codemirror/lang-html,MIT
reflect.getprototypeof,MIT
regexpu-core,MIT
core-js,MIT
lru-cache,ISC
global,MIT
has-tostringtag,MIT
typed-array-length,MIT
array.prototype.flatmap,MIT
readdirp,MIT
@floating-ui/utils,MIT
has-bigints,MIT
listr2,MIT
vuex-persist,MIT
stylelint-config-recommended,MIT
uri-js,BSD-2-Clause
minimatch,ISC
@babel/plugin-transform-block-scoping,MIT
peberminta,MIT
json5,MIT
@types/sinonjs__fake-timers,MIT
@codemirror/lint,MIT
@babel/helper-create-regexp-features-plugin,MIT
@rollup/rollup-win32-ia32-msvc,MIT
@babel/plugin-transform-unicode-property-regex,MIT
import-fresh,MIT
ieee754,BSD-3-Clause
which,ISC
@humanwhocodes/module-importer,Apache-2.0
mimic-fn,MIT
merge-stream,MIT
@codemirror/commands,MIT
sass-embedded-win32-x64,MIT
mediaelement,MIT
slash,MIT
supports-hyperlinks,MIT
inflight,ISC
eslint-plugin-import,MIT
which-boxed-primitive,MIT
call-bound,MIT
call-bind,MIT
@babel/traverse,MIT
wrappy,ISC
@babel/plugin-transform-function-name,MIT
@esbuild/linux-ia32,MIT
sass-embedded-darwin-arm64,MIT
ini,ISC
@rollup/rollup-freebsd-arm64,MIT
isstream,MIT
v8-compile-cache,MIT
doctrine,Apache-2.0
punycode.js,MIT
cross-spawn,MIT
@fortawesome/fontawesome-free,CC-BY-4.0 AND MIT AND OFL-1.1
sync-message-port,MIT
@esbuild/win32-ia32,MIT
isexe,ISC
ini,ISC
babel-plugin-polyfill-corejs3,MIT
emoji-regex,MIT
debug,MIT
@rollup/rollup-linux-loongarch64-gnu,MIT
escape-string-regexp,MIT
tough-cookie,BSD-3-Clause
lightningcss-darwin-arm64,MPL-2.0
@babel/plugin-transform-spread,MIT
safe-push-apply,MIT
@babel/compat-data,MIT
cachedir,MIT
globjoin,MIT
@colors/colors,MIT
eslint-config-airbnb-base,MIT
@babel/plugin-transform-regenerator,MIT
@lezer/markdown,MIT
@types/sizzle,MIT
yargs-parser,ISC
type-fest,MIT OR (CC0-1.0 AND MIT)
lodash.debounce,MIT
escape-string-regexp,MIT
lightningcss-linux-arm64-gnu,MPL-2.0
jssha,BSD-3-Clause
chokidar,MIT
@codemirror/language,MIT
js-tokens,MIT
clean-stack,MIT
optionator,MIT
@types/yauzl,MIT
typed-array-byte-length,MIT
@esbuild/openbsd-x64,MIT
is-reference,MIT
mark.js,MIT
untildify,MIT
@floating-ui/dom,MIT
tinymce,MIT
async,MIT
